numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
1,0.9999998743025713,0.582892152326725,0.5786789430138375
2,0.9903163719659371,0.8064885398249375,0.8027369514138967
3,0.9939938501467707,0.9271798580112875,0.9251134458833861
4,0.9932530153370823,0.9515375801796324,0.949799437048072
5,0.9949350155901661,0.9701470724821423,0.9688424438975094
6,0.9937980231188686,0.9754096271805779,0.9742358997802614
7,0.9958384571176835,0.9803413426111425,0.9791748931321556
8,0.9980988237637962,0.9922622356101705,0.9917547062055071
9,0.999231146932199,0.9970082463862189,0.9967883990794734
10,0.998794258300786,0.9970429592108859,0.996848370423119
11,0.9995192940689563,0.9989282275496784,0.9988551743843745
12,0.9997261070977188,0.999426274413872,0.9993853881388018
13,0.9997184303868366,0.9994489495626009,0.9994086823130024
14,0.9992034855083208,0.9984785545951509,0.9983605425860302
15,0.9997069623115685,0.9994691536439897,0.9994271874085345
16,0.9994031783176661,0.998988722618628,0.998909778675954
17,0.9992670966010279,0.9988750479930291,0.9987947488805474
18,0.9989676818945661,0.9978695764968315,0.9976285289704994
19,0.9997648153377806,0.9996324448012546,0.9996013949223164
20,0.9996068365281369,0.9993377014624238,0.9992704176959954
