numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
1,0.9982578509556406,0.2663742048274514,0.25898144072514645
2,0.9942914821354151,0.3782738170086523,0.3657020279244326
3,0.9858588546940019,0.5353289818106257,0.5213950682162944
4,0.9729196361914596,0.658870564604171,0.6457851866213673
5,0.9657853010724079,0.7333963267389254,0.7211653280897947
6,0.9676706679662728,0.8094724849932321,0.7993747286332507
7,0.9746266156041248,0.8879782200177517,0.8814562977693148
8,0.9708384200867363,0.9027012861641392,0.8967763179969568
9,0.9658823164179662,0.895687167910786,0.8887447905859001
10,0.9784574288664988,0.9242107342178674,0.9181833237013525
11,0.9723419706955541,0.9359112281490853,0.9314085521040161
12,0.9724780662732151,0.9369006963792181,0.9320492368482185
13,0.9784248993895888,0.9544491652332547,0.9508665842673656
14,0.9639971255018231,0.9460961176831555,0.9431820001312794
15,0.9796987775555159,0.9602488956760024,0.9568165635796175
16,0.9797807261904886,0.9628445367595461,0.9596185959155571
17,0.9797124973550322,0.9665500842528901,0.9638541683163069
18,0.9884044237089051,0.980060848775388,0.9782293323265673
19,0.9716488175018434,0.9541864359587832,0.9500903217696702
20,0.9843060411474648,0.9733088679628027,0.9705595746666372
