numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList,SsvGraphTrainingMeanList,SsvGraphTestingAllMeanList,SsvGraphTestingUsvMeanList
1,0.9999994972105524,0.24817899034845808,0.1980576232243185,0.48711700185767326,0.25189446410703614,0.231694438226355
2,0.9996092786564228,0.2749926483741612,0.1714759869052666,0.37878259274051523,0.235356280778038,0.2073971048691329
3,0.976027322022037,0.2781610582515065,0.11711499738138412,0.3316866200279658,0.22566833472037282,0.19015758121889687
4,0.9403712380829303,0.3390967371334029,0.1386719034835604,0.3077302118978171,0.2517751346712345,0.23003894126403934
5,0.8364808473825575,0.3763301810604305,0.16717078727764548,0.26810405836131573,0.23385097440044694,0.21294692267860035
6,0.7078877579846005,0.3705151321454471,0.16809155664195524,0.28836144560485205,0.2689429232999049,0.25294234246555536
7,0.6859196625082195,0.4024885294522149,0.18204209263087795,0.24559939033072298,0.23220498050660968,0.19583711434295142
8,0.6167812654726659,0.39728609300055795,0.17779092052844991,0.25609483407950817,0.26317079409885236,0.24011277230406441
9,0.5747250919512678,0.4122512815489835,0.20335638246033225,0.17574137945861065,0.22119381341750027,0.21484129622840675
10,0.598805032420592,0.45018662106778384,0.20248926881310353,0.24169827016705367,0.2600599915695045,0.22965440826385283
11,0.5642705381879273,0.4526035153583341,0.2069360651332291,0.1995306136007237,0.25822883025228405,0.23451858305001658
12,0.5333886362738478,0.4443896256248577,0.177392593677887,0.2103614878659153,0.2386140557684008,0.2495095611854083
13,0.49692888895741927,0.4392784414487335,0.18945983557776208,0.24942221763093636,0.266871857797141,0.2540315376713881
14,0.5004507226875092,0.46716236488953955,0.23414386030375084,0.21276223866185714,0.24494954191380897,0.18881510258379788
15,0.4829312754609286,0.4585022160811805,0.09206632538495771,0.21013211095689216,0.22962918171722566,0.12988337500661035
16,0.46280258908872096,0.46280258908872096,1.0,0.22393349648505528,0.2624548102576717,1.0
