numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList,SsvGraphTrainingMeanList,SsvGraphTestingAllMeanList,SsvGraphTestingUsvMeanList
1,1.0000000000000515,0.14793451308651812,0.12044852963769448,-5.159011513262803,0.1446102440997701,0.1345773603057449
2,0.9927565539523858,0.19577925203765276,0.1426474319100039,-5.023832250117504,0.19104982760755537,0.18130227402164398
3,0.9882556546985161,0.20397647093281573,0.1228441415777433,-5.036239414369318,0.18259856271926259,0.16740049831819742
4,0.8905372448766105,0.21495483780859842,0.11844306537031095,-2.6503678493389,0.21109903535977798,0.20403110097955485
5,0.7898543450888033,0.22157986634303678,0.11634385176048741,-3.8862398845261388,0.21067525346517338,0.20393666671914756
6,0.6825746166523923,0.23636836207225992,0.13339768793838325,-4.549685765918941,0.18677131271825392,0.17632008462745002
7,0.6329193662920847,0.2503706855705089,0.1432570549684677,-6.412197158856616,0.27473098236070437,0.2730879691773552
8,0.5997858809399281,0.2836345109626009,0.1782507209701585,-5.786191155463375,0.2175335894969729,0.21113274531368967
9,0.6067269313357022,0.29589767414927565,0.17426883438067392,-5.984399809187224,0.2705556147141632,0.26135086486882014
10,0.5452472629109717,0.31443842526071025,0.2095253172378641,-2.6153715256472694,0.2885721539342111,0.2799065885014694
11,0.4981717176394616,0.3151014041352421,0.21920743039493668,-5.809288817664089,0.27941807648848915,0.27483485179146827
12,0.4738441589818855,0.31436492314987297,0.21867738165066553,-8.07398565223422,0.29055049031674607,0.2883566632553066
13,0.4568295722155874,0.3148307759178149,0.21767370476670736,-7.158966349238819,0.26857668500317805,0.26742332886821213
14,0.4633893877855968,0.3321029751827896,0.22999132093616179,-5.630975225190608,0.2841520655113384,0.2762317959812092
15,0.45110597222127097,0.34886640487265896,0.25865502191800144,-5.901686384856191,0.26636776338573825,0.2596091685358419
16,0.4409283067534807,0.34857804776935153,0.2562277887852223,-2.613568230965937,0.29208101200936853,0.280112149473199
17,0.4374193915475108,0.35993299992997746,0.2721150894301064,-3.7884668284567162,0.258587624846934,0.25136731858776895
18,0.42344501828277437,0.3596074813004771,0.2775306480375234,-4.210385700748512,0.24652251472023176,0.2464769080411385
19,0.3989090836661581,0.3528032919548774,0.2854179040691595,-7.003145665127434,0.29331641789911933,0.29431051899979566
20,0.4030858340913704,0.3553382942587543,0.2757590612043941,-6.586073272409197,0.2417022347607642,0.23121389825531796
21,0.39677095921008315,0.35648045668639516,0.27956222459571806,-4.0619169216901,0.26822517609454416,0.2507043887696446
22,0.3830836399801035,0.3466265688104053,0.26642101223706927,-5.504232946627495,0.26348130597708036,0.2588538192706072
23,0.4020137031225393,0.376280192184996,0.3105167753446074,-6.149729782692568,0.2963598703146543,0.28814217434104616
24,0.4032232082235853,0.3696648661335521,0.2689898398634524,-4.692931102980069,0.22754287991901165,0.22316167848559681
25,0.4070599207278683,0.3783964334352337,0.276026835961539,-5.058463843176407,0.2687698678938273,0.2488748770398957
26,0.4055594048210736,0.3759401311026498,0.2475899449894802,-3.0246789547788544,0.3334703484950307,0.3101055698061326
27,0.395572042881182,0.376788835495113,0.27535951561034033,-9.16839381154133,0.22836066097553598,0.2386522313254543
28,0.37098845750339393,0.36368947848429173,0.31259662535057653,-5.128964482336613,0.2851316073004462,0.32500586635981965
29,0.37348914406995404,0.37147915604695225,0.35204927182460155,-5.857655513317864,0.2799111414726757,0.36648980617290644
30,0.38754571071852323,0.38451111747627553,0.33899221884255926,-5.408880170808289,0.2507894318464131,0.3161357893372239
31,0.372687071343508,0.37654743118000933,0.49621858611155256,-3.6041242274352867,0.306967940324257,0.3744130102853819
32,0.38073054946197854,0.38073054946197854,1.0,-4.642823680499192,0.2468653329335943,1.0
