numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList,SsvGraphTrainingMeanList,SsvGraphTestingAllMeanList,SsvGraphTestingUsvMeanList
1,1.0000000000053817,0.5625814141956523,0.5139793491056824,0.9935904591661282,0.6762156189558848,0.6402415994838866
2,0.9984942754000042,0.6052705888764847,0.5069646672456048,0.8983989649745318,0.782808667395976,0.7352866684022888
3,0.9948525104425404,0.6658162451838069,0.5248007029300642,0.855302617115216,0.8239814717265664,0.7719129930383138
4,0.9929069067724421,0.7031611023245312,0.5099972326925907,0.8328087395978372,0.8487834850623489,0.7956995332355985
5,0.9859127813027169,0.737550343340981,0.4891879053792453,0.8250273291406138,0.8573506861173777,0.7974217065304737
6,0.9781115241524279,0.7972404954959277,0.5259339525111775,0.8185558141415438,0.8654953419280916,0.797429694826357
7,0.9690250336240095,0.8277721507243141,0.49818209062502455,0.8134126343703937,0.8687610724146914,0.7882141588072986
8,0.9549574894933461,0.8671750438927841,0.5160452614905348,0.805928133120261,0.8765990663508149,0.7976957032876065
9,0.9419702587296368,0.904098113015401,0.5632488015872775,0.7991126322660879,0.8842335373904109,0.821464227679544
10,0.9301508394903933,0.9301508394903933,1.0,0.7948922286737541,0.8870045200963518,1.0
